1 24273 141.891000 12810 1666 699 445 2000 7000 1000
2 23311 137.922000 14957 1510 614 433 3000 7500 1900
3 9272 144.922000 15113 1673 787 453 4000 6500 1700
4 13166 138.875000 12198 1529 824 445 1000 7000 1400
5 53620 145.875000 12405 1477 770 458 5000 3000 1700
6 4165 137.359000 14438 1572 931 435 2000 7500 2000
7 10168 141.047000 10992 1471 759 462 2000 4500 1800
8 20544 137.469000 16523 1495 764 464 6000 6000 1800
9 9305 142.344000 13806 1562 625 419 3000 6000 2200
10 3530 143.281000 16901 1619 741 441 5000 6500 2600
